extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
1143,14.7857,0.40098,233.954,8.14759
1144,14.7931,0.425369,234.888,8.67793
1145,14.794,0.457568,235.961,9.37818
1146,14.7856,0.499061,237.227,10.2787
1147,14.7644,0.550525,238.761,11.3923
1148,14.7263,0.611067,240.652,12.6985
1149,14.6667,0.677379,242.992,14.1261
1150,14.5823,0.743111,245.853,15.5404
1151,14.4727,0.799106,249.242,16.748
1152,14.3425,0.835183,253.063,17.5345
1153,14.2016,0.843415,257.104,17.7334
1154,14.0634,0.821422,261.086,17.2949
1155,13.9405,0.773428,264.742,16.3085
1156,13.8413,0.708283,267.899,14.9606
1157,13.7684,0.635957,270.499,13.4611
1158,13.7203,0.564709,272.575,11.9834
1159,13.693,0.499905,274.211,10.6402
1160,13.6822,0.44419,275.501,9.48643
1161,13.6836,0.398224,276.532,8.53557
1162,13.6939,0.361469,277.374,7.77587
1163,13.7107,0.332795,278.08,7.18343
1164,13.7321,0.310886,278.69,6.73059
1165,13.7568,0.294466,279.231,6.39082
1166,13.7837,0.28242,279.724,6.14103
1167,13.8122,0.273829,280.183,5.96236
1168,13.8419,0.267968,280.62,5.83994
1169,13.8723,0.26428,281.041,5.76241
1170,13.9031,0.262344,281.455,5.72117
1171,13.9341,0.261844,281.864,5.7098
1172,13.9652,0.262544,282.274,5.72348
1173,13.9961,0.264265,282.687,5.75856
1174,14.0268,0.266871,283.107,5.81226
1175,14.057,0.270258,283.536,5.88241
1176,14.0867,0.274338,283.977,5.96724
1177,14.1158,0.279043,284.432,6.06527
1178,14.1442,0.284307,284.903,6.17519
1179,14.1717,0.290072,285.392,6.29574
1180,14.1984,0.296278,285.902,6.42565
1181,14.224,0.302863,286.433,6.56358
1182,14.2485,0.309757,286.988,6.70806
1183,14.2719,0.316885,287.569,6.85744
1184,14.294,0.324158,288.176,7.00985
1185,14.3148,0.33148,288.81,7.16319
1186,14.3344,0.338744,289.472,7.31517
1187,14.3526,0.345832,290.163,7.46329
1188,14.3695,0.352623,290.881,7.60492
1189,14.3851,0.358991,291.626,7.73742
1190,14.3996,0.364815,292.396,7.85823
1191,14.4129,0.369984,293.189,7.965
1192,14.4253,0.374402,294.003,8.05579
1193,14.4368,0.378,294.834,8.12914
1194,14.4477,0.380736,295.678,8.18428
1195,14.4581,0.382603,296.532,8.22116
1196,14.4682,0.383631,297.392,8.24048
1197,14.4781,0.383884,298.254,8.24371
1198,14.488,0.383458,299.116,8.23296
1199,14.4981,0.382474,299.975,8.21085
1200,14.5084,0.381068,300.828,8.18028
1201,14.519,0.379382,301.674,8.14423
1202,14.5299,0.37755,302.512,8.10551
1203,14.5412,0.375692,303.342,8.06653
1204,14.5529,0.373899,304.164,8.02907
1205,14.5649,0.372228,304.979,7.9942
1206,14.5772,0.370699,305.787,7.96215
1207,14.5898,0.369294,306.588,7.93232
1208,14.6027,0.367957,307.384,7.90336
1209,14.6159,0.366601,308.174,7.87328
1210,14.6293,0.365118,308.957,7.83964
1211,14.643,0.363384,309.734,7.79976
1212,14.6571,0.361275,310.502,7.75094
1213,14.6716,0.358671,311.26,7.69067
1214,14.6868,0.35547,312.004,7.61684
1215,14.7026,0.351594,312.734,7.52786
1216,14.7192,0.346991,313.446,7.42277
1217,14.7368,0.341642,314.136,7.30127
1218,14.7554,0.335558,314.803,7.16374
1219,14.7752,0.328777,315.445,7.01115
1220,14.7964,0.321362,316.058,6.845
1221,14.8188,0.313398,316.641,6.66717
1222,14.8427,0.304979,317.194,6.47982
1223,14.8681,0.29621,317.716,6.28529
1224,14.8949,0.287199,318.207,6.08591
1225,14.9232,0.27805,318.667,5.88399
1226,14.9529,0.268864,319.097,5.68169
1227,14.984,0.259732,319.497,5.48099
1228,15.0164,0.250737,319.87,5.28365
1229,15.0501,0.24195,320.217,5.09122
1230,15.0849,0.233434,320.54,4.90498
1231,15.1209,0.225241,320.839,4.72603
1232,15.1579,0.217413,321.118,4.55525
1233,15.1958,0.209984,321.377,4.39334
1234,15.2347,0.202984,321.619,4.24088
1235,15.2743,0.196434,321.844,4.0983
1236,15.3147,0.190352,322.055,3.96595
1237,15.3557,0.184753,322.254,3.84409
1238,15.3973,0.179649,322.44,3.73295
1239,15.4395,0.175052,322.617,3.6327
1240,15.4821,0.17097,322.785,3.54353
1241,15.5252,0.167413,322.945,3.46557
1242,15.5686,0.164392,323.099,3.399
1243,15.6123,0.161916,323.248,3.34396
1244,15.6562,0.159996,323.392,3.30063
1245,15.7004,0.158643,323.534,3.26918
1246,15.7448,0.157869,323.673,3.24978
1247,15.7892,0.157683,323.811,3.24261
1248,15.8337,0.158098,323.949,3.24782
1249,15.8782,0.159123,324.089,3.26555
1250,15.9226,0.160767,324.23,3.29593
1251,15.9669,0.163037,324.375,3.33902
1252,16.0111,0.165938,324.524,3.39486
1253,16.055,0.169471,324.679,3.46342
1254,16.0987,0.173636,324.841,3.5446
1255,16.1419,0.178427,325.012,3.63822
1256,16.1848,0.183832,325.192,3.74401
1257,16.2271,0.189837,325.383,3.86158
1258,16.2689,0.196418,325.587,3.99042
1259,16.3099,0.203546,325.806,4.1299
1260,16.3503,0.211183,326.04,4.27921
1261,16.3897,0.219285,326.292,4.43741
1262,16.4283,0.227796,326.564,4.60339
1263,16.4658,0.236655,326.857,4.77591
1264,16.5022,0.245794,327.172,4.9536
1265,16.5374,0.255139,327.512,5.13504
1266,16.5714,0.264618,327.877,5.31885
1267,16.6041,0.274163,328.268,5.50377
1268,16.6354,0.28372,328.687,5.68884
1269,16.6653,0.293256,329.135,5.87363
1270,16.6937,0.302775,329.612,6.0584
1271,16.7206,0.312328,330.119,6.24447
1272,16.7459,0.322023,330.659,6.43434
1273,16.7695,0.332044,331.231,6.632
1274,16.7913,0.342648,331.841,6.84297
1275,16.811,0.354166,332.49,7.07415
1276,16.8285,0.366978,333.186,7.33333
1277,16.8432,0.381474,333.936,7.62833
1278,16.8548,0.397983,334.751,7.96558
1279,16.8626,0.416687,335.641,8.34827
1280,16.8659,0.437514,336.622,8.77428
1281,16.8641,0.460036,337.706,9.23421
1282,16.8565,0.483399,338.905,9.71001
1283,16.8428,0.506301,340.227,10.1748
1284,16.8231,0.52707,341.669,10.5944
1285,16.7979,0.543827,343.218,10.9308
1286,16.7686,0.554764,344.849,11.1477
1287,16.7369,0.558444,346.524,11.2167
1288,16.7053,0.554088,348.196,11.1228
1289,16.6761,0.54173,349.816,10.8674
1290,16.6514,0.522201,351.342,10.4682
1291,16.633,0.496951,352.741,9.95506
1292,16.6218,0.467781,353.992,9.3646
1293,16.6182,0.436555,355.091,8.73469
1294,16.622,0.404989,356.041,8.09997
1295,16.6324,0.374519,356.855,7.48931
1296,16.6488,0.34626,357.551,6.92504
1297,16.6702,0.321028,358.147,6.4234
1298,16.6957,0.299388,358.663,5.99563
1299,16.7243,0.281724,359.115,5.6493
1300,16.7554,0.268301,359.522,5.38966
1301,16.788,0.259323,359.896,5.22077
1302,16.8217,0.254983,360.253,5.14656
