extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
5144,16.5872,0.0873268,4362.76,6.60369
5145,16.5987,0.0884626,4362.94,6.69606
5146,16.6101,0.0901066,4363.12,6.82496
5147,16.6214,0.0922068,4363.31,6.987
5148,16.6326,0.094732,4363.51,7.18017
5149,16.6436,0.0976648,4363.73,7.40331
5150,16.6545,0.100995,4363.96,7.65577
5151,16.6652,0.104718,4364.2,7.93721
5152,16.6756,0.108832,4364.46,8.24742
5153,16.6857,0.113333,4364.75,8.58624
5154,16.6956,0.11822,4365.06,8.95347
5155,16.705,0.12349,4365.39,9.34879
5156,16.7141,0.129136,4365.76,9.77169
5157,16.7227,0.135148,4366.17,10.2214
5158,16.7309,0.141514,4366.61,10.6969
5159,16.7384,0.148214,4367.09,11.1967
5160,16.7454,0.155223,4367.62,11.7188
5161,16.7517,0.162507,4368.2,12.2606
5162,16.7572,0.170025,4368.84,12.8191
5163,16.762,0.177726,4369.53,13.3904
5164,16.7659,0.185548,4370.29,13.9698
5165,16.769,0.193418,4371.11,14.5519
5166,16.7711,0.201255,4372.01,15.1305
5167,16.7722,0.208964,4372.97,15.6987
5168,16.7724,0.216444,4374.01,16.2489
5169,16.7716,0.223585,4375.12,16.7731
5170,16.7699,0.230276,4376.3,17.263
5171,16.7672,0.236404,4377.54,17.7103
5172,16.7637,0.24186,4378.85,18.107
5173,16.7595,0.246546,4380.21,18.446
5174,16.7546,0.250376,4381.62,18.7212
5175,16.7492,0.253286,4383.07,18.9279
5176,16.7434,0.255233,4384.54,19.0632
5177,16.7373,0.2562,4386.04,19.1262
5178,16.7312,0.256198,4387.53,19.1178
5179,16.7251,0.255267,4389.02,19.0411
5180,16.7193,0.253471,4390.5,18.9013
5181,16.7137,0.250896,4391.94,18.7048
5182,16.7086,0.247649,4393.36,18.4597
5183,16.704,0.243848,4394.73,18.1749
5184,16.7,0.23962,4396.06,17.86
5185,16.6967,0.235095,4397.34,17.5245
5186,16.694,0.230401,4398.58,17.178
5187,16.692,0.22566,4399.76,16.8295
5188,16.6906,0.220985,4400.9,16.4872
5189,16.6898,0.216476,4401.99,16.1584
5190,16.6896,0.212219,4403.03,15.8495
5191,16.6899,0.208287,4404.04,15.5657
5192,16.6907,0.204737,4405.01,15.311
5193,16.692,0.201612,4405.95,15.0883
5194,16.6935,0.19894,4406.87,14.8995
5195,16.6954,0.196735,4407.77,14.7457
5196,16.6975,0.195,4408.64,14.6267
