total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1034,926.497,7.96164,0.273955,302.626,13.3042
1035,927.321,7.97474,0.273934,303.826,13.213
1036,928.142,7.98794,0.272915,305.006,13.0752
1037,928.96,8.00141,0.27094,306.157,12.8938
1038,929.773,8.0153,0.268075,307.272,12.6726
1039,930.578,8.02976,0.264404,308.346,12.4166
1040,931.373,8.0449,0.260026,309.375,12.1309
1041,932.158,8.06081,0.255046,310.354,11.821
1042,932.932,8.07757,0.249571,311.281,11.4923
1043,933.694,8.09522,0.243709,312.156,11.1502
1044,934.443,8.11379,0.237561,312.978,10.7994
1045,935.18,8.13328,0.231221,313.747,10.4444
1046,935.904,8.15367,0.224772,314.467,10.089
1047,936.617,8.17496,0.218288,315.137,9.73656
1048,937.318,8.19711,0.211833,315.761,9.38974
1049,938.008,8.22009,0.205459,316.341,9.05079
1050,938.687,8.24384,0.19921,316.88,8.72145
1051,939.356,8.26832,0.193119,317.38,8.40307
1052,940.016,8.2935,0.187214,317.844,8.09659
1053,940.668,8.31932,0.181516,318.275,7.80268
1054,941.311,8.34573,0.176039,318.676,7.52176
1055,941.947,8.37269,0.170793,319.048,7.25403
1056,942.576,8.40016,0.165785,319.395,6.99954
1057,943.199,8.4281,0.16102,319.717,6.75822
1058,943.816,8.45646,0.156499,320.019,6.52992
1059,944.428,8.48522,0.152222,320.3,6.3144
1060,945.035,8.51434,0.148188,320.563,6.11141
1061,945.637,8.54378,0.144395,320.81,5.92066
1062,946.236,8.57352,0.140841,321.042,5.74182
1063,946.83,8.60353,0.137524,321.26,5.57462
1064,947.422,8.63378,0.13444,321.467,5.41873
1065,948.01,8.66425,0.131588,321.661,5.27388
1066,948.596,8.69492,0.128965,321.846,5.13978
1067,949.18,8.72576,0.12657,322.022,5.0162
1068,949.761,8.75677,0.1244,322.19,4.9029
1069,950.341,8.7879,0.122456,322.351,4.79967
1070,950.919,8.81916,0.120737,322.505,4.70633
1071,951.495,8.85053,0.119242,322.653,4.62273
1072,952.071,8.88198,0.117973,322.796,4.54874
1073,952.645,8.9135,0.116931,322.936,4.48425
1074,953.219,8.94507,0.116119,323.071,4.42921
1075,953.792,8.97669,0.115539,323.204,4.38356
1076,954.364,9.00834,0.115194,323.334,4.34731
1077,954.937,9.04,0.115091,323.462,4.32048
1078,955.509,9.07166,0.115235,323.588,4.30315
1079,956.082,9.10331,0.115632,323.714,4.29543
1080,956.655,9.13492,0.116292,323.84,4.29751
1081,957.229,9.16649,0.117226,323.967,4.30962
1082,957.804,9.19799,0.118446,324.094,4.33207
1083,958.379,9.22941,0.119967,324.223,4.36526
1084,958.956,9.26073,0.121809,324.354,4.40968
1085,959.535,9.29194,0.123991,324.489,4.46596
1086,960.116,9.32299,0.126542,324.627,4.53485
1087,960.699,9.35388,0.12949,324.77,4.61725
1088,961.284,9.38457,0.132874,324.918,4.71426
1089,961.873,9.41502,0.136735,325.073,4.82716
1090,962.466,9.4452,0.141123,325.236,4.95745
1091,963.062,9.47507,0.146095,325.409,5.10689
1092,963.664,9.50457,0.151717,325.593,5.27747
1093,964.271,9.53363,0.158063,325.79,5.47145
1094,964.886,9.5622,0.165215,326.002,5.69135
1095,965.508,9.59017,0.173266,326.233,5.93991
1096,966.14,9.61745,0.182313,326.485,6.22009
1097,966.782,9.64391,0.192461,326.762,6.53498
1098,967.438,9.66942,0.203817,327.069,6.88769
1099,968.109,9.69379,0.216487,327.411,7.28129
1100,968.798,9.71684,0.230572,327.795,7.71856
1101,969.508,9.73832,0.246158,328.227,8.2018
1102,970.242,9.75796,0.263312,328.716,8.73253
1103,971.006,9.77546,0.282065,329.271,9.31115
1104,971.803,9.79048,0.302401,329.902,9.9365
1105,972.639,9.80263,0.324243,330.622,10.6054
1106,973.519,9.81152,0.347435,331.441,11.3123
1107,974.449,9.81674,0.371724,332.372,12.0484
1108,975.433,9.8179,0.396749,333.425,12.8017
1109,976.477,9.81466,0.422028,334.61,13.5565
1110,977.584,9.80676,0.446965,335.934,14.2939
1111,978.755,9.7941,0.470865,337.397,14.992
1112,979.989,9.77672,0.492965,338.997,15.6273
1113,981.284,9.7549,0.512491,340.723,16.1762
1114,982.632,9.72913,0.528727,342.558,16.6175
1115,984.024,9.70011,0.541086,344.479,16.9344
1116,985.447,9.66874,0.549186,346.457,17.1168
1117,986.889,9.63599,0.552897,348.461,17.1625
1118,988.337,9.60287,0.552364,350.46,17.0779
1119,989.776,9.57034,0.547989,352.424,16.8773
1120,991.196,9.53919,0.540383,354.329,16.5809
1121,992.59,9.51006,0.530289,356.158,16.2129
1122,993.95,9.48335,0.5185,357.899,15.7982
1123,995.275,9.45928,0.505778,359.546,15.3607
1124,996.564,9.43791,0.492788,361.1,14.9207
1125,997.817,9.41915,0.480052,362.563,14.4938
1126,999.038,9.40284,0.467928,363.942,14.0905
1127,1000.23,9.38876,0.45661,365.245,13.7162
1128,1001.39,9.37671,0.446146,366.479,13.3718
1129,1002.53,9.36647,0.43647,367.65,13.0548
1130,1003.64,9.35787,0.427435,368.765,12.7606
1131,1004.74,9.35079,0.418851,369.829,12.483
1132,1005.82,9.34511,0.410511,370.844,12.2159
1133,1006.88,9.3408,0.402226,371.812,11.9537
1134,1007.92,9.33781,0.39383,372.736,11.6914
1135,1008.94,9.33614,0.385201,373.616,11.4257
1136,1009.94,9.3358,0.376257,374.453,11.1543
1137,1010.93,9.33681,0.366959,375.245,10.8764
1138,1011.9,9.33917,0.357308,375.994,10.5921
1139,1012.85,9.3429,0.347333,376.699,10.3026
1140,1013.78,9.34798,0.337092,377.362,10.0098
1141,1014.69,9.35441,0.326656,377.982,9.71583
1142,1015.59,9.36215,0.31611,378.562,9.42335
1143,1016.47,9.37117,0.305544,379.103,9.13499
1144,1017.33,9.38142,0.295046,379.606,8.85333
1145,1018.17,9.39283,0.284701,380.075,8.58079
1146,1019,9.40535,0.274589,380.51,8.31956
1147,1019.82,9.41889,0.264781,380.914,8.07149
1148,1020.62,9.43339,0.255338,381.29,7.83814
1149,1021.42,9.44878,0.246312,381.64,7.62068
1150,1022.2,9.46497,0.237744,381.967,7.41997
1151,1022.97,9.4819,0.229666,382.272,7.23654
1152,1023.73,9.4995,0.222101,382.557,7.07059
1153,1024.37,9.52618,0.210694,383.006,6.85554
1154,1024.99,9.55417,0.2008,383.42,6.68625
1155,1025.6,9.58321,0.192386,383.808,6.5597
1156,1026.2,9.61311,0.185383,384.174,6.47188
1157,1026.79,9.64366,0.179691,384.524,6.41817
1158,1027.37,9.67473,0.175193,384.863,6.39373
1159,1027.94,9.70618,0.171756,385.194,6.39369
1160,1028.51,9.73789,0.169244,385.52,6.41342
1161,1029.08,9.76979,0.16752,385.843,6.4486
1162,1029.65,9.8018,0.166452,386.166,6.49531
1163,1030.22,9.83387,0.165917,386.49,6.55005
1164,1030.78,9.86594,0.165801,386.816,6.6097
1165,1031.35,9.89798,0.166004,387.145,6.67156
1166,1031.92,9.92998,0.166434,387.476,6.73325
1167,1032.49,9.9619,0.167012,387.812,6.7927
1168,1033.06,9.99375,0.16767,388.15,6.84817
1169,1033.63,10.0255,0.168348,388.492,6.89814
1170,1034.2,10.0572,0.168996,388.836,6.94135
1171,1034.77,10.0888,0.169571,389.183,6.97675
1172,1035.35,10.1204,0.170038,389.53,7.00353
1173,1035.92,10.1519,0.170369,389.879,7.02103
1174,1036.5,10.1834,0.170542,390.228,7.02883
1175,1037.07,10.2148,0.170539,390.575,7.02664
1176,1037.65,10.2463,0.17035,390.921,7.01439
1177,1038.22,10.2778,0.169968,391.264,6.99212
1178,1038.8,10.3093,0.16939,391.603,6.96007
1179,1039.37,10.3409,0.16862,391.937,6.91858
1180,1039.94,10.3726,0.167662,392.267,6.86814
1181,1040.51,10.4044,0.166525,392.59,6.80936
1182,1041.08,10.4362,0.165222,392.907,6.74292
1183,1041.65,10.4683,0.163767,393.216,6.66963
1184,1042.22,10.5004,0.162178,393.518,6.59035
1185,1042.78,10.5327,0.160474,393.812,6.50602
1186,1043.34,10.5651,0.158676,394.097,6.41762
1187,1043.9,10.5977,0.156806,394.374,6.32618
1188,1044.46,10.6305,0.154888,394.643,6.23275
1189,1045.02,10.6634,0.152947,394.903,6.13842
1190,1045.57,10.6965,0.151008,395.154,6.04429
1191,1046.12,10.7298,0.149099,395.398,5.95145
1192,1046.67,10.7632,0.147246,395.634,5.86103
1193,1047.22,10.7967,0.145476,395.862,5.77414
1194,1047.76,10.8304,0.143818,396.084,5.69187
1195,1048.31,10.8642,0.1423,396.299,5.61533
1196,1048.85,10.8981,0.140951,396.508,5.54559
1197,1049.39,10.9321,0.139798,396.712,5.48372
1198,1049.93,10.9662,0.13887,396.912,5.43074
1199,1050.47,11.0003,0.138195,397.107,5.38765
1200,1051.01,11.0345,0.137801,397.3,5.35542
1201,1051.54,11.0687,0.137714,397.49,5.33497
1202,1052.08,11.1029,0.137962,397.68,5.32721
1203,1052.62,11.137,0.138572,397.869,5.33307
1204,1053.16,11.1711,0.139576,398.058,5.35363
1205,1053.7,11.2051,0.141017,398.25,5.3903
1206,1054.24,11.239,0.142957,398.444,5.44532
1207,1054.79,11.2728,0.145505,398.644,5.52265
1208,1055.34,11.3063,0.148865,398.849,5.62971
1209,1055.89,11.3395,0.153422,399.064,5.78084
1210,1056.44,11.3723,0.159914,399.293,6.00332
1211,1057.01,11.4045,0.169718,399.544,6.34788
1212,1057.59,11.4356,0.18527,399.832,6.90408
1213,1058.2,11.4648,0.210574,400.187,7.81802
1214,1058.85,11.4907,0.251551,400.664,9.30423
1215,1059.59,11.51,0.316033,401.379,11.6437
1216,1060.49,11.5167,0.413369,402.549,15.1685
1217,1061.73,11.4993,0.553445,404.593,20.2247
1218,1063.57,11.437,0.743556,408.251,27.058
