# zMean	zSD	jMean	jSD	FMean	FSD	TotSteps
8.546225980243577851e+02	4.696585966263128853e+00	1.458882170523702371e+02	1.329320560955929977e+02	1.325696639031606061e+01	3.478291566614473140e-01	9.000000000000000000e+01
8.602372576656756564e+02	2.557452327124710934e+00	1.521989863376177539e+02	7.276742912176632672e+01	1.321144469728005966e+01	1.894049193468561043e-01	8.500000000000000000e+01
8.638472505460703132e+02	1.483688189005238023e+00	1.555958580409001399e+02	4.284963535345741548e+01	1.331438862455803118e+01	1.098819472777279316e-01	8.400000000000000000e+01
8.667374209470115147e+02	1.277005919697935310e+00	1.579730930575249488e+02	3.724631441539895604e+01	1.347064260466432728e+01	9.457505841282909387e-02	9.200000000000000000e+01
8.696125420568183699e+02	1.394639388817703329e+00	1.603372019533211983e+02	4.043789369359001284e+01	1.362801113527203256e+01	1.032869931358391113e-01	1.000000000000000000e+02
8.726397460874781018e+02	1.502783661743621435e+00	1.629238715884160627e+02	4.301360656240285607e+01	1.377411640476137045e+01	1.112961579887326025e-01	1.080000000000000000e+02
8.757550558158020522e+02	1.599711942193585701e+00	1.656310664215938573e+02	4.599387374967409414e+01	1.391369656628169871e+01	1.184746664388569570e-01	1.160000000000000000e+02
8.795795837638843295e+02	3.298049603142823916e+00	1.694517140311845935e+02	1.021890545872884104e+02	1.400075202644672068e+01	2.442535536087575565e-01	1.140000000000000000e+02
8.904893682191956259e+02	1.462811279857983138e+01	1.842690380541666855e+02	4.753129629725081031e+02	1.356307338968636955e+01	1.083358033862822367e+00	1.210000000000000000e+02
9.101394335772378099e+02	9.573022973477979036e+00	2.125412789206747561e+02	3.177040666727334610e+02	1.247808954926976632e+01	7.089780814157791156e-01	1.310000000000000000e+02
9.175524572396509484e+02	2.105619310556619883e+00	2.216947970359726412e+02	7.473523709766595857e+01	1.229938101683144502e+01	1.559421661398232573e-01	1.200000000000000000e+02
9.209881520687696366e+02	1.164648395204864517e+00	2.246329571126139797e+02	4.340640500493464060e+01	1.241523345778692189e+01	8.625386014887226338e-02	1.290000000000000000e+02
9.240019052067765415e+02	1.168893270714693289e+00	2.269298234125857903e+02	4.399695706786587834e+01	1.256233490038612466e+01	8.656823562913018577e-02	1.200000000000000000e+02
9.272241838426152754e+02	1.525159282247328552e+00	2.295952247571244129e+02	5.795853662204899592e+01	1.269399294461590877e+01	1.129532964432371500e-01	1.140000000000000000e+02
9.313483403910523748e+02	2.939745213673785607e+00	2.338340641968075317e+02	1.168261243260640185e+02	1.275885791063865859e+01	2.177175305246805692e-01	1.200000000000000000e+02
9.392408181708881330e+02	8.050194331757285937e+00	2.446719492720837081e+02	3.331955201660384773e+02	1.254464100626402789e+01	5.961973922099446099e-01	1.200000000000000000e+02
9.525887247615228262e+02	8.619735845260210638e+00	2.649762596385933762e+02	3.602397273018432315e+02	1.192639504416162310e+01	6.383776366999711627e-01	1.190000000000000000e+02
9.610967939420889934e+02	2.841607691532470170e+00	2.766223066096264915e+02	1.216046703705069376e+02	1.166658744064888964e+01	2.104494656348947501e-01	1.100000000000000000e+02
9.651769246781625498e+02	1.143719350726192907e+00	2.804705738466033154e+02	5.148753304548154119e+01	1.173471295833527783e+01	8.470385511478184526e-02	1.100000000000000000e+02
9.682853770472947872e+02	8.982856121227514867e-01	2.826439708896100456e+02	4.135082335222978145e+01	1.187480097587734562e+01	6.652703243381097309e-02	1.100000000000000000e+02
9.713192633703897627e+02	9.750466311300838296e-01	2.847121056386633882e+02	4.472698481980478391e+01	1.202041135478893352e+01	7.221195350149400838e-02	1.010000000000000000e+02
9.745158197856439983e+02	1.180082294954619249e+00	2.870995014144959327e+02	5.350610969081753865e+01	1.215397438667520902e+01	8.739689476433909476e-02	9.600000000000000000e+01
9.780003548397137365e+02	1.454299670141590450e+00	2.900143132329501441e+02	6.515350384236080572e+01	1.226620972057079761e+01	1.077054335706861821e-01	8.700000000000000000e+01
9.818179237853669292e+02	1.718121634588717805e+00	2.935243999117604403e+02	7.614152342540910468e+01	1.235378056445572170e+01	1.272440882576404420e-01	8.700000000000000000e+01
9.858955075571677753e+02	1.870705519555927676e+00	2.974906833068575907e+02	8.221600572095485404e+01	1.242209471031615564e+01	1.385444507783120116e-01	8.100000000000000000e+01
9.900728073601349024e+02	1.880447731729787630e+00	3.016161204406054139e+02	8.215359389415243641e+01	1.248302388690840381e+01	1.392659590119080804e-01	8.100000000000000000e+01
9.942030587443077820e+02	1.802325189297255603e+00	3.056438571825610779e+02	7.846191931847715750e+01	1.254743746939655935e+01	1.334802035193547454e-01	7.700000000000000000e+01
9.982165337389524211e+02	1.683095822462887359e+00	3.094466207433121099e+02	7.284246766967407893e+01	1.262049951129318082e+01	1.246500766116014347e-01	7.600000000000000000e+01
1.002048733447994209e+03	1.502364657565599559e+00	3.129152923329468763e+02	6.435178763054136652e+01	1.270698680084155008e+01	1.112651265393083122e-01	7.500000000000000000e+01
1.005613837038075417e+03	1.249317975412674198e+00	3.158914138670747320e+02	5.269616724453226198e+01	1.281325522896013602e+01	9.252448925906264776e-02	7.400000000000000000e+01
1.008836151601616848e+03	9.676516949933761103e-01	3.182594733112504173e+02	4.007807903060165700e+01	1.294491061238425011e+01	7.166428453120943232e-02	7.000000000000000000e+01
1.011713579704157041e+03	7.170168635010919500e-01	3.200334326496213748e+02	2.914256159648357425e+01	1.310210828711012709e+01	5.310226891089087076e-02	6.700000000000000000e+01
1.014306786640084738e+03	5.289651668788668548e-01	3.213283195849388676e+02	2.108546776043658610e+01	1.328035538143532257e+01	3.917516025904888011e-02	6.600000000000000000e+01
1.016688625608259827e+03	4.033986204948003529e-01	3.222871252050127282e+02	1.580966357207216788e+01	1.347425638745227161e+01	2.987570183384491429e-02	6.200000000000000000e+01
1.018925930418021380e+03	3.324108770702506321e-01	3.230368765864311058e+02	1.278770517022348940e+01	1.367886159324133644e+01	2.461834955582276052e-02	6.000000000000000000e+01
1.021077796409079610e+03	3.054966932954378822e-01	3.236811962928244384e+02	1.158437682593648788e+01	1.388979439794356097e+01	2.262508510546012985e-02	5.800000000000000000e+01
1.023205153647978477e+03	3.224734640092444260e-01	3.243106717341080412e+02	1.205136784006026573e+01	1.410254232083070747e+01	2.388238474452464288e-02	6.900000000000000000e+01
1.025350048904317873e+03	3.897714250845881745e-01	3.250178789830481492e+02	1.432638130935083609e+01	1.431399137814622158e+01	2.886647174176459885e-02	6.900000000000000000e+01
1.027594256497782453e+03	5.197568123532503304e-01	3.259132725419154326e+02	1.879061561952403281e+01	1.451808536377423486e+01	3.849318952288172113e-02	7.200000000000000000e+01
1.030022004250445661e+03	7.273805075215760141e-01	3.271330059070289167e+02	2.586489602232177276e+01	1.470858636521199792e+01	5.386980038704791696e-02	7.200000000000000000e+01
1.032735338187963407e+03	1.027284748332293107e+00	3.288382628990587477e+02	3.599852328107226640e+01	1.487793685379942410e+01	7.608070846148962119e-02	7.300000000000000000e+01
